"date","freq","btc"
2011-05-15,9760,196785.66
2011-05-16,13415,240944.19
2011-05-17,11006,245185.08
2011-05-18,13561,172431.14
2011-05-19,12188,215965.14
2011-05-20,12001,371663.72
2011-05-21,11481,641349.3
2011-05-22,12551,902075.4
2011-05-23,13736,470233.84
2011-05-24,14863,384760.44
2011-05-25,15714,416452.5
2011-05-26,14321,664889.6
2011-05-27,10753,259309.6
2011-05-28,12014,228126.19
2011-05-29,12347,272073.9
2011-05-30,14389,291090.44
2011-05-31,13352,280079.16
2011-06-01,15256,278295.03
2011-06-02,16854,407012.25
2011-06-03,19708,619895.94
2011-06-04,19304,506060.22
2011-06-05,19005,550273.56
2011-06-06,21649,826019.2
2011-06-07,19851,563593.5
2011-06-08,27125,826143.9
2011-06-09,28447,808565.7
2011-06-10,25793,928040.6
2011-06-11,27464,1636418.6
2011-06-12,28611,1687953.9
2011-06-13,28813,1366604.6
2011-06-14,34164,1538001.4
2011-06-15,30198,4640237
2011-06-16,28625,8397654
2011-06-17,27587,1468723.8
2011-06-18,30741,1270904.4
2011-06-19,28805,4580934
2011-06-20,29460,1393207.5
2011-06-21,26655,3506949.5
2011-06-22,30367,1158300.1
2011-06-23,28101,1689344.5
2011-06-24,24880,4691243
2011-06-25,22058,11399258
2011-06-26,25686,3574998.5
2011-06-27,29890,4006349.8
2011-06-28,25548,6144781.5
2011-06-29,24249,1242364.1
2011-06-30,23713,1577412.5
2011-07-01,33910,1029850.3
2011-07-02,31788,750395.7
2011-07-03,21870,787358.94
2011-07-04,25745,1139354.5
2011-07-05,24486,438085.8
2011-07-06,24892,538413.2
2011-07-07,22254,469851.12
2011-07-08,24987,349943.62
2011-07-09,22113,2028422.5
2011-07-10,31659,2465514.8
2011-07-11,25167,1253966.4
2011-07-12,24453,840109.6
2011-07-13,27418,1400851.4
2011-07-14,28355,1935979.1
2011-07-15,24548,617426.8
2011-07-16,25807,1242726.4
2011-07-17,23757,575527.94
2011-07-18,24986,3534529.8
2011-07-19,24685,2521505.5
2011-07-20,24064,626925.7
2011-07-21,25122,1266860.6
2011-07-22,24656,1560360.6
2011-07-23,20926,649613.8
2011-07-24,24223,734593.4
2011-07-25,27187,1419574.5
2011-07-26,22940,1166942
2011-07-27,24130,1362478.1
2011-07-28,24787,3380524.8
2011-07-29,21785,478729.3
2011-07-30,19006,291918.34
2011-07-31,25538,619027.75
2011-08-01,24979,574798.5
2011-08-02,18896,387559.25
2011-08-03,17548,433112.72
2011-08-04,19957,286948.12
2011-08-05,21064,526913.44
2011-08-06,18963,392386.34
2011-08-07,20053,384890.7
2011-08-08,21562,1297112.2
2011-08-09,23709,2708531.8
2011-08-10,18739,661985
2011-08-11,17569,532627.6
2011-08-12,16569,332842
2011-08-13,18662,340292.5
2011-08-14,21693,443726.7
2011-08-15,19165,324042.94
2011-08-16,22266,324602.47
2011-08-17,20370,464853.44
2011-08-18,22052,408065.47
2011-08-19,20852,404643.22
2011-08-20,20846,224497.22
2011-08-21,24041,268797.7
2011-08-22,24072,276521.53
2011-08-23,21945,445735.75
2011-08-24,21248,582162.75
2011-08-25,22519,371009.72
2011-08-26,17732,2757732
2011-08-27,19439,217316.7
2011-08-28,19125,199849.69
2011-08-29,17575,249887.62
2011-08-30,18487,243800.12
2011-08-31,16724,293950.25
2011-09-01,15963,302821.3
2011-09-02,15980,263035.75
2011-09-03,14004,372641.12
2011-09-04,88954,1674415.2
2011-09-05,17632,2733952.8
2011-09-06,17896,2795875
2011-09-07,16246,489400.16
2011-09-08,16060,413751.56
2011-09-09,16802,386498.2
2011-09-10,14786,261317.48
2011-09-11,15481,1038629.3
2011-09-12,14690,605069.06
2011-09-13,15267,380760.53
2011-09-14,14189,276291.25
2011-09-15,14392,330282.8
2011-09-16,13808,685216.8
2011-09-17,12497,312929.8
2011-09-18,15191,347427.28
2011-09-19,15978,284082
2011-09-20,22315,420108.16
2011-09-21,15903,347465.94
2011-09-22,18760,293100.3
2011-09-23,19801,353233.56
2011-09-24,18845,213154.12
2011-09-25,18512,312866.6
2011-09-26,17640,292559.5
2011-09-27,17454,442421.25
2011-09-28,13676,356802
2011-09-29,12696,327943.75
2011-09-30,13111,295342.75
2011-10-01,11837,410538.06
2011-10-02,12313,364015.7
2011-10-03,13998,388851.44
2011-10-04,13027,410532.6
2011-10-05,13208,406561.2
2011-10-06,13527,523323.44
2011-10-07,13101,373390.25
2011-10-08,12044,305897.66
2011-10-09,12795,317145.12
2011-10-10,13196,295313.62
2011-10-11,14739,340280.8
2011-10-12,11401,300570.7
2011-10-13,11698,300360.72
2011-10-14,13689,393498.03
2011-10-15,12114,269234.94
2011-10-16,11687,323521.94
2011-10-17,13588,471980.66
2011-10-18,10981,303318.03
2011-10-19,12216,319361.44
2011-10-20,10524,357783.62
2011-10-21,11112,620217.4
2011-10-22,12353,518576.78
2011-10-23,12176,533809.7
2011-10-24,13370,345734.6
2011-10-25,12703,372893.94
2011-10-26,11818,509153.97
2011-10-27,10979,539875.94
2011-10-28,11969,397912.97
2011-10-29,11959,377498.3
2011-10-30,10285,201615.56
2011-10-31,11580,557130.25
2011-11-01,12369,421498.38
2011-11-02,12140,412801.2
2011-11-03,12563,314511.78
2011-11-04,14934,415770.1
2011-11-05,12572,264526.44
